LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,VALUE,COUNTRY
CAN,CPI,TOT,AGRWTH,M,2014-05,2.28,Canada
CAN,CPI,TOT,AGRWTH,M,2014-06,2.36,Canada
CAN,CPI,TOT,AGRWTH,M,2014-07,2.11,Canada
CAN,CPI,TOT,AGRWTH,M,2014-08,2.11,Canada
CAN,CPI,TOT,AGRWTH,M,2014-09,2.03,Canada
CAN,CPI,TOT,AGRWTH,M,2014-10,2.36,Canada
CAN,CPI,TOT,AGRWTH,M,2014-11,1.95,Canada
CAN,CPI,TOT,AGRWTH,M,2014-12,1.47,Canada
CAN,CPI,TOT,AGRWTH,M,2015-01,0.97,Canada
CAN,CPI,TOT,AGRWTH,M,2015-02,1.05,Canada
CAN,CPI,TOT,AGRWTH,M,2015-03,1.2,Canada
CAN,CPI,TOT,AGRWTH,M,2015-04,0.8,Canada
CAN,CPI,TOT,AGRWTH,M,2015-05,0.87,Canada
CAN,CPI,TOT,AGRWTH,M,2015-06,1.03,Canada
CAN,CPI,TOT,AGRWTH,M,2015-07,1.27,Canada
CAN,CPI,TOT,AGRWTH,M,2015-08,1.27,Canada
CAN,CPI,TOT,AGRWTH,M,2015-09,1.03,Canada
CAN,CPI,TOT,AGRWTH,M,2015-10,1.03,Canada
CAN,CPI,TOT,AGRWTH,M,2015-11,1.36,Canada
CAN,CPI,TOT,AGRWTH,M,2015-12,1.61,Canada
CAN,CPI,TOT,AGRWTH,M,2016-01,2.01,Canada
CAN,CPI,TOT,AGRWTH,M,2016-02,1.36,Canada
CAN,CPI,TOT,AGRWTH,M,2016-03,1.27,Canada
CAN,CPI,TOT,AGRWTH,M,2016-04,1.66,Canada
CAN,CPI,TOT,AGRWTH,M,2016-05,1.5,Canada
CAN,CPI,TOT,AGRWTH,M,2016-06,1.49,Canada
CAN,CPI,TOT,AGRWTH,M,2016-07,1.26,Canada
CAN,CPI,TOT,AGRWTH,M,2016-08,1.1,Canada
CAN,CPI,TOT,AGRWTH,M,2016-09,1.34,Canada
CAN,CPI,TOT,AGRWTH,M,2016-10,1.49,Canada
CAN,CPI,TOT,AGRWTH,M,2016-11,1.18,Canada
CAN,CPI,TOT,AGRWTH,M,2016-12,1.5,Canada
CAN,CPI,TOT,AGRWTH,M,2017-01,2.13,Canada
CAN,CPI,TOT,AGRWTH,M,2017-02,2.05,Canada
CAN,CPI,TOT,AGRWTH,M,2017-03,1.56,Canada
CAN,CPI,TOT,AGRWTH,M,2017-04,1.64,Canada
CAN,CPI,TOT,AGRWTH,M,2017-05,1.32,Canada
CAN,CPI,TOT,AGRWTH,M,2017-06,1.01,Canada
CAN,CPI,TOT,AGRWTH,M,2017-07,1.16,Canada
CAN,CPI,TOT,AGRWTH,M,2017-08,1.4,Canada
CAN,CPI,TOT,AGRWTH,M,2017-09,1.55,Canada
CAN,CPI,TOT,AGRWTH,M,2017-10,1.39,Canada
